Age,Gender,Sexual orientation,School,Religion,Income,Personal[Sincerity],Personal[Loyalty],Personal[Self-confidence],Personal[Braveness],Personal[Optimism],Personal[Money],Personal[Attractiveness],Personal[Intelligence],Personal[Charisma],Personal[Spirituality],Personal[Generosity],Personal[Kindness],Personal[Adventurous],Personal[Fun],Personal[Energetic],Relationship,Future Partner[Sincerity],Future Partner[Loyalty],Future Partner[Self-confidence],Future Partner[Braveness],Future Partner[Optimism],Future Partner[Money],Future Partner[Attractiveness],Future Partner[Intelligence],Future Partner[Charisma],Future Partner[Spirituality],Future Partner[Generosity],Future Partner[Kindness],Future Partner[Adventurous],Future Partner[Fun],Future Partner[Energetic],Opposite sex[Sincerity],Opposite sex[Loyalty],Opposite sex[Self-confidence],Opposite sex[Braveness],Opposite sex[Optimism],Opposite sex[Money],Opposite sex[Attractiveness],Opposite sex[Intelligence],Opposite sex[Charisma],Opposite sex[Spirituality],Opposite sex[Generosity],Opposite sex[Kindness],Opposite sex[Adventurous],Opposite sex[Fun],Opposite sex[Energetic],Relationship rate,Time together,Kids,Partner[Sincerity],Partner[Loyalty],Partner[Self-confidence],Partner[Braveness],Partner[Optimism],Partner[Money],Partner[Attractiveness],Partner[Intelligence],Partner[Charisma],Partner[Spirituality],Partner[Generosity],Partner[Kindness],Partner[Adventurous],Partner[Fun],Partner[Energetic],Partner values[Sincerity],Partner values[Loyalty],Partner values[Self-confidence],Partner values[Braveness],Partner values[Optimism],Partner values[Money],Partner values[Attractiveness],Partner values[Intelligence],Partner values[Charisma],Partner values[Spirituality],Partner values[Generosity],Partner values[Kindness],Partner values[Adventurous],Partner values[Fun],Partner values[Energetic],Relationship[Respect],Relationship[Vulnerability],Relationship[Trust],Relationship[Honesty],Relationship[Kindness],Relationship[Boundaries],Relationship[Commitment],Relationship[Thoughtfulness],Relationship[Forgiveness],Relationship[Gentleness],Relationship[Affection],Relationship[Appreciation],Relationship[Validation],Relationship[Freedom],Relationship[Alone],Relationship type,ID,Relationship score,Gender_nm,Sexual orientation_nm,School_nm,Income_nm,Relationship_nm,Kids_nm,Religion_nm
28,Male,Heterosexual,Bachelor,Atheist,1600 - 2000 euros,6,7,4,5,5,5,6,6,5,6,7,7,6,6,6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,18 meses,No,7.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,Monogamous,0,77.0,0,0,1,4,1,0,-1
31,Male,Heterosexual,High school,Christian,1000 - 1300 euros,7,7,4,5,4,4,0,3,3,0,8,7,7,6,6,No,8.0,7.0,5.0,5.0,4.0,0.0,0.0,4.0,5.0,0.0,8.0,8.0,7.0,6.0,6.0,8.0,7.0,5.0,5.0,4.0,0.0,0.0,4.0,3.0,0.0,8.0,7.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,2,0,0,1
27,Female,Heterosexual,Master,Christian,1000 - 1300 euros,6,8,4,6,4,2,4,6,7,6,8,8,6,8,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10 meses,No,7.0,8.0,7.0,6.0,7.0,7.0,7.0,8.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,2.0,4.0,6.0,7.0,1.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,Monogamous,2,88.0,1,0,2,2,1,0,1
28,Male,Heterosexual,Master,Atheist,1600 - 2000 euros,8,8,8,8,8,7,6,7,7,0,6,5,8,6,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,"0,9",No,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,6.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,Monogamous,3,88.0,0,0,2,4,1,0,-1
27,Male,Heterosexual,Bachelor,Pastafarianism,800 - 1000 euros,6,7,5,5,6,4,4,8,6,5,7,7,7,6,6,No,7.0,7.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,4.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,0,1,1,0,0,-1
30,Female,Heterosexual,Master,Atheist,1000 - 1300 euros,8,8,6,6,5,4,5,6,5,4,7,7,3,4,4,No,8.0,8.0,7.0,7.0,7.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,0,2,2,0,0,-1
27,Female,Heterosexual,Master,Christian,1000 - 1300 euros,6,7,5,5,7,5,7,8,6,3,6,7,5,6,6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6 meses,No,7.0,8.0,7.0,6.0,5.0,5.0,7.0,7.0,8.0,3.0,7.0,6.0,5.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,2.0,6.0,8.0,4.0,1.0,6.0,6.0,3.0,7.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Monogamous,6,89.0,1,0,2,2,1,0,1
28,Female,Heterosexual,Master,Christian,1000 - 1300 euros,8,8,6,6,7,6,6,6,7,7,7,7,6,7,6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4 anos,No,8.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,4.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,4.0,7.0,6.0,6.0,4.0,7.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Monogamous,7,89.0,1,0,2,2,1,0,1
28,Male,Homosexual,Master,Agnostic,More than 3000 euros,6,7,7,5,8,6,5,6,6,7,7,8,7,8,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1 ano,No,8.0,8.0,4.0,5.0,3.0,7.0,5.0,7.0,6.0,3.0,5.0,4.0,4.0,5.0,3.0,6.0,6.0,8.0,8.0,8.0,4.0,6.0,6.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,Monogamous,8,79.0,0,1,2,6,1,0,0
23,Female,Heterosexual,Master,Don’t know,1000 - 1300 euros,8,6,4,4,6,2,3,5,4,6,8,8,5,8,6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5 anos,No,8.0,8.0,4.0,5.0,4.0,4.0,7.0,6.0,4.0,6.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,4.0,4.0,7.0,1.0,3.0,7.0,4.0,4.0,8.0,8.0,5.0,7.0,4.0,6.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,Monogamous,9,82.0,1,0,2,2,1,0,0
30,Male,Heterosexual,Master,Christian,1300 - 1600 euros,7,8,6,6,7,5,5,6,6,6,7,7,5,7,7,No,8.0,8.0,7.0,8.0,8.0,6.0,5.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,6.0,8.0,5.0,6.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,0,0,2,3,0,0,1
29,Female,Heterosexual,Master,Christian,1300 - 1600 euros,7,8,5,6,6,4,6,6,6,4,7,8,5,6,6,No,8.0,8.0,6.0,6.0,7.0,5.0,5.0,7.0,6.0,3.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,5.0,6.0,8.0,6.0,4.0,5.0,7.0,4.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,0,2,3,0,0,1
25,Male,Prefer not to disclose,Master,Christian,1000 - 1300 euros,6,8,6,6,6,4,4,5,6,6,7,7,4,6,6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3,No,8.0,7.0,3.0,4.0,1.0,3.0,7.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Monogamous,12,75.0,0,,2,2,1,0,1
22,Male,Heterosexual,High school,Atheist,Less than 800 euros,7,8,5,6,7,3,2,5,5,0,7,7,5,7,5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3 anos,No,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,0.0,5.0,8.0,0.0,0.0,6.0,5.0,0.0,6.0,6.0,2.0,8.0,7.0,6.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Monogamous,13,86.0,0,0,0,0,1,0,-1
33,Male,Heterosexual,High school,Atheist,Less than 800 euros,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4,No,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Monogamous,14,59.0,0,0,0,0,1,0,-1
26,Male,Heterosexual,Master,Atheist,1300 - 1600 euros,6,6,7,5,7,4,5,6,6,1,2,3,3,7,5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6,No,7.0,7.0,6.0,6.0,7.0,4.0,7.0,7.0,7.0,2.0,4.0,4.0,3.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,6.0,0.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Monogamous,15,88.0,0,0,2,3,1,0,-1
25,Female,Heterosexual,Master,Christian,1000 - 1300 euros,7,8,4,4,6,5,5,6,6,7,8,8,7,8,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1 ano,No,8.0,8.0,7.0,8.0,8.0,6.0,5.0,7.0,7.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,3.0,7.0,7.0,7.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Monogamous,16,89.0,1,0,2,2,1,0,1
